id,dvno_group_name,dvno_group_id_explicit,dvno_group_id,dvno_membership,dvno_users,dvno_affiliation,feide_id,feide_email,feide_name,feide_nb,feide_nn,feide_en,feide_se,ror_id,ror_name,ror_acronym,comments
85,norsus.no,&explicit/1-norsusno,norsusno,No Members,No,Norwegian Institute for Sustainability Research,,,,,,,,,,,
86,norut.no,&explicit/1-norutno,norutno,No Members,No,,,,,,,,,,,,Now part of NORCE Norwegian Research Centre
87,nupi.no,&explicit/1-nupino,nupino,No Members,No,Norwegian Institute of International Affairs,,,,,,,,https://ror.org/01pznaa94,Norwegian Institute of International Affairs,NUPI,
88,ostfoldforskning.no,&explicit/1-ostfoldforskningno,ostfoldforskningno,No Members,No,Ostfold Research,,,,,,,,https://ror.org/01vmqaq17,Ostfold Research (Norway),,Has changed name to 
89,ostforsk.no,&explicit/1-ostforskno,ostforskno,No Members,No,Eastern Norway Research Institute,,,,,,,,https://ror.org/020deqr47,Eastern Norway Research Institute,ENRI,
90,pfi.no,&explicit/1-pfino,pfino,No Members,No,Paper and Fibre Research Institute,,,,,,,,https://ror.org/053qb6g74,Paper and Fibre Research Institute,PFI,
91,prio.org,&explicit/1-prioorg,prioorg,No Members,No,Peace Research Institute,,,,,,,,https://ror.org/04dx54y73,Peace Research Institute,PRIO,
92,risefr.no,&explicit/1-risefrno,risefrno,No Members,No,RISE Fire Research,,,,,,,,,,,
93,ruralis.no,&explicit/1-ruralisno,ruralisno,No Members,No,Institute for Rural and Regional Research,,,,,,,,https://ror.org/0169gd037,Centre for Rural Research,CRR,Note: The ROR entry is not up to date.
94,sik.no,&explicit/1-sikno,sikno,No Members,No,Centre for Intercultural Communication,,,,,,,,,,,Now part of VID
95,snf.no,&explicit/1-snfno,snfno,No Members,No,Centre for Applied Research,,,,,,,,,,,
96,stami.no,&explicit/1-stamino,stamino,No Members,No,National Institute of Occupational Health,,,,,,,,https://ror.org/04g3t6s80,National Institute of Occupational Health,NIOH,
97,teknova.no,&explicit/1-teknovano,teknovano,No Members,No,Teknova,,,,,,,,https://ror.org/02ekw8p73,Teknova,,Now part of NORCE Norwegian Research Centre
98,tel-tek.no,&explicit/1-tel-tekno,tel-tekno,No Members,No,Tel-Tek,,,,,,,,,,,Now part of SINTEF
99,tfou.no,&explicit/1-tfouno,tfouno,No Members,No,Trøndelag Forskning og Utvikling,,,,,,,,https://ror.org/01hw8wm79,Trøndelag Forskning og Utvikling (Norway),TFOU,Now part of SINTEF
100,tisip.no,&explicit/1-tisipno,tisipno,No Members,No,TISIP,,,,,,,,,,,
101,tmforsk.no,&explicit/1-tmforskno,tmforskno,No Members,No,Telemark Research Institute,,,,,,,,https://ror.org/02jjgkb92,Telemark Research Institute,TRI,
102,toi.no,&explicit/1-toino,toino,No Members,No,Institute of Transport Economics,,,,,,,,https://ror.org/04p2pa451,Institute of Transport Economics,TØI,
103,treteknisk.no,&explicit/1-tretekniskno,tretekniskno,No Members,No,Norwegian Institute of Wood Technology,,,,,,,,https://ror.org/00d5qfz16,Norwegian Institute of Wood Technology,NTI,
104,uni.no,&explicit/1-unino,unino,No Members,No,Uni Research,,,,,,,,https://ror.org/016tr2j79,Uni Research (Norway),,Now part of NORCE Norwegian Research Centre
105,vestforsk.no,&explicit/1-vestforskno,vestforskno,No Members,No,Western Norway Research Institute,,,,,,,,https://ror.org/04z1q2j11,Vestlandsforsking,WRNI,
106,westerdals.no,&explicit/1-westerdalsno,westerdalsno,No Members,No,"Westerdals Oslo School of Arts, Communication and Technology",,,,,,,,https://ror.org/02re25503,"Westerdals Oslo School of Arts, Communication and Technology",,Now part of Kristiania

